Nr	Name	Typ 1	Typ 2	KP	Ang	Ver	SpA	SpV	Init
996	Frospino	Drache	Eis	65	75	45	35	45	55
997	Cryospino	Drache	Eis	90	95	66	45	65	62
998	Espinodon	Drache	Eis	115	145	92	75	86	87
999	Gierspenst	Geist	-	45	30	70	75	70	10
1000	Monetigo	Stahl	Geist	87	60	95	133	91	84
1001	Chongjian	Unlicht	Pflanze	85	85	100	95	135	70
1002	Baojian	Unlicht	Eis	80	120	80	90	65	135
1003	Dinglu	Unlicht	Boden	155	110	125	55	80	45
1004	Yuyu	Unlicht	Feuer	55	80	80	135	120	100
1005	Donnersichel	Drache	Unlicht	105	139	71	55	101	119
1006	Eisenkrieger	Fee	Kampf	74	130	90	120	60	116
1007	Koraidon	Kampf	Drache	100	135	115	85	100	135
1008	Miraidon	Elektro	Drache	100	85	100	135	115	135
1009	Windewoge	Wasser	Drache	99	83	91	125	83	109
1010	Eisenblatt	Pflanze	Psycho	90	130	88	70	108	104
1011	Sirapfel	Pflanze	Drache	80	80	110	95	80	40
1012	Mortcha	Pflanze	Geist	40	45	45	74	54	50
1013	Fatalitcha	Pflanze	Geist	71	60	106	121	80	70
1014	Boninu	Gift	Kampf	88	128	115	58	86	80
1015	Benesaru	Gift	Psycho	88	75	66	130	90	106
1016	Beatori	Gift	Fee	88	91	82	70	125	99
1017	Ogerpon	Pflanze	-	80	120	84	60	96	110
1018	Briduradon	Stahl	Drache	90	105	130	125	65	85
1019	Hydrapfel	Pflanze	Drache	106	80	110	120	80	44
1020	Keilflamme	Feuer	Feuer	Dragon	105	115	121	65	93
1021	Furienblitz	Elektro	Drache	125	73	91	137	89	75
1022	Eisenfels	Gestein	Psycho	90	120	80	68	108	124
1023	Eisenhaupt	Stahl	Psycho	90	72	100	122	108	98
1024	Terapagos	Normal	-	90	65	85	65	85	60
1025	Infamomo	Gift	Geist	88	88	160	88	88	88
